date,cost_act,cost_ml_eval,month
2025-04-22,2.3276068177388773,2.6256858672884107,2025-04
2025-04-23,2.857292970338198,3.016984285961056,2025-04
2025-04-24,3.6993346485526515,3.705379741131595,2025-04
2025-04-25,2.810878733413719,3.336571846950249,2025-04
2025-04-26,2.207244794383475,2.629207751161261,2025-04
2025-04-27,2.3183488784072086,2.885638990343856,2025-04
2025-04-28,1.6192079398056696,1.948797242831429,2025-04
2025-04-29,2.082400871796016,2.3028220637655075,2025-04
2025-04-30,1.9790734600583944,2.1554749243346354,2025-04
2025-05-01,1.7713026301086188,2.0096538758455624,2025-05
2025-05-02,2.9461722843890983,3.148993471156624,2025-05
2025-05-03,2.976746016799137,3.0254392394467273,2025-05
2025-05-04,2.1232746256681936,2.3303764209411337,2025-05
2025-05-05,2.130502085798673,2.2644608779857025,2025-05
2025-05-06,1.5165369556182764,1.8139089565441384,2025-05
2025-05-07,2.334811018230535,2.727770105598932,2025-05
2025-05-08,1.9984745450194352,2.266921186448046,2025-05
2025-05-09,2.629881930664462,2.9591270763692274,2025-05
2025-05-10,2.0172785942449973,2.2590137036958304,2025-05
2025-05-11,-0.635673677892502,1.4523064871586717,2025-05
2025-05-12,1.5856452898922617,2.0000191577800575,2025-05
2025-05-13,1.6277097287960178,1.8563242349294096,2025-05
2025-05-14,1.6926262677174135,2.000949847495921,2025-05
2025-05-15,3.1920314152314333,3.313692066083413,2025-05
2025-05-16,2.0450142983944843,2.3768320053129246,2025-05
2025-05-17,1.5018595444514204,1.698378494810892,2025-05
2025-05-18,2.4232631138760534,2.667772782729752,2025-05
2025-05-19,1.9284241625294372,2.0678181376072278,2025-05
2025-05-20,2.0714748691337443,2.307431017114171,2025-05
2025-05-21,1.4745728928450896,1.7462895296701668,2025-05
2025-05-22,2.28192933925226,2.754572989381769,2025-05
2025-05-23,2.314615198779857,2.712849003325255,2025-05
2025-05-24,4.699434946299979,4.761787212616484,2025-05
2025-05-25,2.0501186898302826,2.17966003576481,2025-05
2025-05-26,1.717338685469,1.987205824729525,2025-05
2025-05-27,2.2385105731302364,2.4136408769014506,2025-05
2025-05-28,3.0094268431612816,3.3086192317045686,2025-05
2025-05-29,2.522577721392677,2.6031333575223674,2025-05
2025-05-30,1.6656172967733895,1.9747703583252396,2025-05
2025-05-31,2.301071479072651,2.554493621867465,2025-05
2025-06-01,3.8430590424908155,3.9204291450193813,2025-06
2025-06-02,1.9860915294835861,2.424257938271177,2025-06
2025-06-03,1.886448846686743,2.1320140732722317,2025-06
2025-06-04,1.186653580473326,1.5590417872404085,2025-06
2025-06-05,3.3148938680940874,3.395735906880554,2025-06
2025-06-06,3.042754949819078,3.21698209710439,2025-06
2025-06-07,3.252081432698178,3.604436246698748,2025-06
2025-06-08,2.1251895044206672,2.3722358368156216,2025-06
2025-06-09,2.988550265246886,3.231382156629089,2025-06
2025-06-10,1.6836854457376411,1.9060072993201183,2025-06
2025-06-11,1.697851000309694,2.0224645621785697,2025-06
2025-06-12,2.1243328515150988,2.359477537727298,2025-06
2025-06-13,3.346309376014138,3.7175611859943594,2025-06
2025-06-14,3.57621619157242,3.8263491545524175,2025-06
2025-06-15,3.038951214942197,3.2011097422855945,2025-06
2025-06-16,2.3409084661749375,2.762493279211299,2025-06
2025-06-17,1.9697700020097129,2.1930255663850247,2025-06
2025-06-18,2.8298600579465614,3.0615307312803637,2025-06
2025-06-19,2.6460519000438634,2.9673059787236693,2025-06
2025-06-20,3.569994177100857,3.9621802522736953,2025-06
2025-06-21,4.160273694380958,4.3839537485221145,2025-06
2025-06-22,3.0864128027708477,3.220630627991603,2025-06
2025-06-23,1.4557031014189907,1.5839043707744234,2025-06
2025-06-24,2.7625240672456712,3.044814880233052,2025-06
2025-06-25,4.208785971167841,4.298619516336313,2025-06
2025-06-26,3.8077219983247668,3.929839731484576,2025-06
2025-06-27,2.0491448108332095,2.3601310948367744,2025-06
2025-06-28,1.2712317122146557,1.4250139467466556,2025-06
